GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,Primary_WS,2003_TOTAL_MGD,2013_TOTAL_MGD,03_13_PCTCHG_TOT_MGD,2003_RES_MGD,2013_RES_MGD,03_13_PCTCHG_RES_MGD,2003_NONRES_MGD,2013_NONRES_MGD,03_13_PCTCHG_NONRES_MGD,2003_GPCD,2013_GPCD,03_13_PCTCHG_GPCD,2014_MO_WAT_INFLADJ2021,2014_MO_SEW_INFLADJ2021,2014_MO_COMBO_INFLADJ2021,2020_MO_WAT_INFLADJ2021,2020_MO_SEW_INFLADJ2021,2020_MO_COMBO_INFLADJ2021,2014_2020WAT_PCTCHG_ADJ,2014_2020SEW_PCTCHG_ADJ,2014_2020COMBO_PCTCHG_ADJ,2014_2020WAT_ANN_PCTCHG_ADJ,2014_2020SEW_ANN_PCTCHG_ADJ,2014_2020COMBO_ANN_PCTCHG_ADJ,UTILITY_NAME,2017_NONREV_WATER,2017_ANNCOST,2017_PCT_NONREV_TO_WS,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,2003_GPCD,disbursement_per_capita,above_80pct_regional_median,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
1712476,Channahon,7344,12560,13383,4547,2.94149989,13281,919,3074,2143,2710,2507,1265,515,148,37.7,11029,1891,259,45,57,13281,10147,7016,6601,415,3131,6479,259,6220,5589,541,38,0,52,201815,43,604,1963,1666,8570,294,2098,2716,842,1678,942,225,499,535,887,1013,1117,99429,38475,4276,3803,473,45,4321,3801,187,16,73,99,51,0,94,7.3,1687,1953,571,110,1996,37,442,2018,1488,336,352,2597,758,60,236300,465,0,63,162,240,0,1518,4178,56,98,4078,4072,198,4895,Education,Health Care,Manufacturing,Retail Trade,Accommodation and Food Service,626,583,498,484,325,2840,Accommodation and Food Service,Manufacturing,Construction,Transportation,Administration,473,407,403,336,156,Joliet,Chicago,Channahon,Bolingbrook,Naperville,731,392,242,138,118,Joliet,Channahon,Chicago,Shorewood,Minooka,344,242,99,73,53,,,,,147801315,135613648,337917144,30793156,47810707,1795002,1654391,0,419970400,1,0,0,1,0,0,50.6193859,5420.000505,1570.518954,0.289763618,2.377282849,0.000438613,1.917962449,0.000353868,154.7568903,0.028552929,184.4040258,0.03402288,246.2149048,0.0454271,1373.360418,0.253387507,823.6242292,0.151960176,649.1811294,0.119775105,413.6447084,0.076318205,461,1467,771,1577,3675,221,601,141,0,0,141,577,165,184,228,535,154,165,216,3009,2003,803,203,12996,285,12362,588,87,11774,398,50,0,0,0,0,0,140,0,6962,267,31,17,67,2620,1237,2162,938,387,33.5,2279,2123,156,67,2346,266,1596,1240,493,644,180,4419,57,68,33,41,25,27,Sandstone Groundwater,0.37,0.53,45.2,0.34,0.49,45.4,0.03,0.04,43.5,48.3,52.9,9.5,35.54008896,37.60038397,N/A,34.23625348,32.66578314,N/A,-3.668633129,-13.12380436,N/A,-0.621000436,-2.317492561,N/A,N/A,N/A,N/A,N/A,0,0,0.403967328,0.819157609,0.999891928,0.907639103,0.444184274,48.3,266.03,1,0,0,0.129340948
1714000,Chicago,2896016,2695598,2746388,1142725,2.361788707,2699347,165844,451994,741583,541728,456024,198316,99423,44435,34.8,900055,772791,776470,182251,67780,2640243,2204754,1482449,1361632,120061,722305,1333008,113226,1219782,641781,101651,348730,101842,25778,42370095,289649,474104,237371,80019,1883017,265839,414038,322959,106626,452360,321195,247276,206530,165058,124195,155086,182998,62097,39068,1081143,490295,590848,136543,1217686,317493,42026,173819,180336,140855,51552,308532,3073,4.8,135563,214292,376858,490973,1951,321746,417167,326982,105831,45960,92754,189679,121961,76013,267600,575668,52524,168898,182534,138276,33436,1154,977867,104809,103276,934161,893381,146982,1110039,Health Care,Professional,Accommodation and Food Service,Education,Administration,151462,115681,102883,102157,94284,1313527,Professional,Health Care,Education,Finance,Accommodation and Food Service,176561,167160,118145,117419,113167,Chicago,Evanston,Skokie,Schaumburg,Elk Grove Village,716535,17335,11714,10869,8841,Chicago,Evanston,Oak Park,Skokie,Naperville,716535,12400,12373,11249,10740,1141970,1034196,1098035,10907.93237,23964714896,17353898008,54858615055,32167313053,2299363912,198796667,41479,0,89524130166,0.002477186,0.004995392,0.992527422,0.017881782,0.018248737,0.963869481,2.416512803,147959.2988,29464.76696,0.199141029,17029.08835,0.115093059,1651.545883,0.011162163,7089.518731,0.047915331,8790.74328,0.059413253,8335.919315,0.056339273,57500.68392,0.38862501,9.258090733,6.26E-05,10727.33232,0.072501914,7360.441935,0.049746396,405957,322635,147278,205273,565754,93824,515389,165308,4844,14479,145985,255166,28496,54032,172638,163117,48579,59617,54921,459408,307816,115388,36204,2152712,546635,2533503,899400,365227,1634103,600655,73414,49438,19573,16451,7940,28839,76940,26150,907166,753644,1053739,124437,57030,844298,772451,611072,369392,298803,31.5,1061928,464865,597063,90940,1152868,511774,418113,338983,84243,281549,181234,1815896,43,51,27,34,16,16,Lake Michigan,607.6,487.03,-19.8,383.86,317.45,-17.3,223.74,169.58,-24.2,136.2,116.6,-14.4,16.4823601,15.16377129,N/A,21.35839667,21.35839667,N/A,29.58336392,40.85148252,N/A,4.413873735,5.875035855,N/A,Chicago,53.61,5076228,13.3,0.978748369,0.935255939,0.467431255,0.798274628,0.169977459,0.023930676,0.08666477,136.2,303.25,1,0.994590934,0.988459498,0.499208557
1714026,Chicago Heights,32776,30276,27480,9261,2.893855955,29598,1795,7075,5760,5599,4961,2613,1252,543,35.4,6262,11116,11480,51,689,28832,22816,14002,12110,1831,8814,11952,502,11450,9312,1043,747,19,329,317455,1088,3604,3481,1563,18480,3533,6056,4385,1340,2119,1047,2779,2097,1903,989,1422,546,49880,21948,9736,6179,3557,1557,11293,7770,364,1379,550,335,126,623,146,5.8,644,1999,6506,2144,1957,1370,2316,6072,1369,166,4849,1229,61,27,107700,3505,548,1525,850,563,19,918,8298,1107,1438,7853,7599,1883,11298,Health Care,Manufacturing,Education,Retail Trade,Accommodation and Food Service,1911,1314,1118,1072,951,9752,Manufacturing,Education,Health Care,Transportation,Wholesale Trade,2483,2116,1269,752,652,Chicago,Chicago Heights,Homewood,Olympia Fields,South Holland,2681,1151,289,277,182,Chicago Heights,Chicago,Park Forest,Steger,Homewood,1151,809,318,250,206,15636,13078,9504,17050.47966,197482623,148048424,197082805,107801200,84328196,7020601,64721,0,396297523,0.087421005,0.60870126,0.303877735,0.183718985,0.762754391,0.053526624,2.562805902,6532.549848,1344.528715,0.205819894,164.1954812,0.025134976,11.50711649,0.001761505,287.8030873,0.044056776,508.5379839,0.077846782,1065.841406,0.163158557,1730.236134,0.264863824,345.0935544,0.052826777,475.2435892,0.07275009,599.562781,0.09178082,2754,2645,1450,2887,6708,1478,3028,2028,28,157,1843,2559,530,612,1417,1903,1004,651,248,2957,2492,406,59,25222,4376,27803,9000,2898,18803,8626,104,0,0,43,0,21,180,26,12062,7790,12305,138,481,11378,7007,6453,4057,3881,30.6,10703,6725,3978,741,11444,5508,5900,4321,1312,1620,780,19441,43,50,23,28,21,22,Lake Michigan,5.76,5.49,-4.8,1.88,1.69,-10.3,3.88,3.8,-2.2,59.1,55.4,-6.3,42.08118224,30.06891832,N/A,48.69550148,21.86208053,N/A,15.71799766,-27.2934254,N/A,2.462941251,-5.17366897,N/A,Chicago Heights,0.998,2113115,18.7,0.063398259,0.027532228,0.243831169,0.772671569,0.135916597,0.013754452,0.342334546,59.1,312.59,1,0.306692963,0.297708876,0.19335676
1714065,Chicago Ridge,14127,14305,14433,5687,2.482855636,14028,1430,1884,3482,2275,2805,1215,591,346,35.7,9653,2030,1054,393,898,13540,11217,6821,6342,479,4396,6178,161,6017,5205,333,354,41,84,184930,415,2277,1819,828,10124,785,3521,2611,967,1610,630,1136,1480,864,601,1008,250,51555,24310,5339,2969,2370,497,5836,2050,145,127,274,1410,1416,414,0,4.7,214,2734,2701,187,1970,1190,2456,1643,447,100,1130,1587,231,21,169200,2286,189,1103,873,121,0,973,4612,306,727,4465,4261,874,5831,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Education,871,729,528,489,438,5585,Retail Trade,Public Administration,Transportation,Accommodation and Food Service,Health Care,1434,1122,735,516,473,Chicago,Chicago Ridge,Oak Lawn,Bridgeview,Bedford Park,1749,256,230,159,150,Chicago,Oak Lawn,Chicago Ridge,Burbank,Orland Park,1357,288,256,138,135,7444,4534,3675,16055.91762,273383993,256630968,166132461,147244775,40959423,601231,0,0,354937890,0,0.12656187,0.87343813,0,0.825771939,0.174228061,1.52981134,1451.485181,362.224921,0.249554681,139.5807186,0.096164067,5.381544991,0.003707613,158.0155143,0.108864711,29.93146276,0.020621267,102.9915424,0.070955972,484.8052263,0.334006322,0,0,126.4431934,0.087112976,42.11105685,0.029012392,1807,1451,796,1285,3364,252,1975,810,0,54,756,1676,136,366,1174,864,248,461,155,1837,1576,261,0,10596,3432,12598,5133,2062,7465,1160,1034,0,315,2220,5,9,312,78,12052,883,337,203,652,3702,4013,3050,1742,1620,32.5,5739,2996,2743,158,5897,1645,3456,2122,558,914,336,9031,42,49,23,29,19,20,Lake Michigan,1.52,1.16,-23.6,1.17,0.92,-21.5,0.35,0.24,-31,82.5,63.7,-22.7,37.26281608,5.265198364,N/A,42.66444432,4.816109053,N/A,14.49602798,-8.529390173,N/A,2.281809684,-1.474889848,N/A,Chicago Ridge,0.142,351388,11.8,0.21165081,0.013280689,0.316772027,0.728451296,0,0,0.163294452,82.5,405.15,1,0.859514371,0.93412527,0.143897702
1714351,Cicero,85616,83891,85268,24260,3.4858615,81471,4904,20597,19117,16594,13322,4460,1664,813,31.7,5658,72389,2751,383,290,80654,61689,39821,37949,1871,21868,37562,557,37005,26432,5779,3300,1108,386,1123635,2387,7694,7773,4844,48693,16682,16545,8118,2557,3884,907,4054,6393,4974,3058,2902,1317,53726,20040,22698,11763,10935,2038,24736,9654,577,7960,3776,1640,542,497,90,5.2,166,2013,6063,16494,0,3423,8571,9031,2385,1326,3508,7417,671,130,174400,10549,598,5498,3740,713,0,951,20305,4557,2393,19860,18461,2838,28322,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,Health Care,4409,3274,3198,3177,3112,16647,Retail Trade,Education,Manufacturing,Administration,Health Care,2930,2719,2624,2490,1589,Chicago,Cicero,Berwyn,Elk Grove Village,Schaumburg,10208,2622,630,500,373,Chicago,Cicero,Berwyn,Oak Park,Brookfield,5582,2622,803,188,167,18873,13720,15317,16484.84405,811999277,622057144,594454159,138370295,79202936,28443048,0,0,840470438,0,0,1,0,0,1,0.790254155,3753.716522,798.9914334,0.212853429,477.7927373,0.127285248,37.28528078,0.009932897,255.0629365,0.06794944,163.6111304,0.043586437,434.2735407,0.115691619,1341.425509,0.3573593,0,0,47.73687508,0.01271723,197.5370792,0.0526244,4311,4596,3751,10040,17508,3542,5190,2321,15,152,2154,7406,717,1984,4705,4929,2420,1579,930,7233,5430,1521,282,49905,31566,76567,63050,24845,13517,61787,480,46,109,92,13,191,326,6,16787,66299,674,771,1085,32604,23532,15926,7488,6066,26.4,23115,12753,10362,1525,24640,23223,11518,5771,1602,1780,977,44871,41,48,24,30,17,18,Lake Michigan,6.44,7.64,18.6,3.88,4.53,16.8,2.57,3.11,21.3,45.7,53.5,17.2,40.28561225,20.91000275,N/A,46.61217643,13.91960214,N/A,15.70427711,-33.43089284,N/A,2.460916332,-6.557283519,N/A,Cicero,0.507,1151250,7.4,1,1,0.150904647,0.753370179,0.048392907,0,0.121999781,45.7,330.37,1,1,1,0.286033758
1714572,Clarendon Hills,7610,8427,8702,3170,2.718611987,8834,510,2506,586,2164,1889,398,685,96,41.3,6980,532,32,1030,260,8818,6500,4477,4426,51,2023,4293,935,3358,2487,90,701,64,16,102850,127,1083,1765,456,5615,169,358,399,211,2687,1791,496,320,626,253,366,1370,103486,67540,3431,3009,422,93,3524,2662,194,0,74,185,201,208,0,7.1,576,1212,1565,171,1971,468,859,813,1065,319,195,710,854,1142,456300,407,0,238,95,74,0,970,3355,81,76,3301,3283,130,3581,Health Care,Professional,Education,Retail Trade,Finance,482,449,340,338,259,1681,Other Service,Retail Trade,Health Care,Finance,Professional,436,323,195,153,127,Chicago,Westmont,Downers Grove,Oak Brook,Naperville,903,184,150,118,115,Chicago,Clarendon Hills,Downers Grove,Naperville,Westmont,202,109,65,58,57,,,,20873.882,79154442,55705596,584403378,28173900,156660,618541,0,0,613352479,0.129301787,0.466164792,0.404533422,0,0.863949483,0.136050517,5.669788715,1156.199193,615.6640705,0.532489621,32.96801587,0.028514132,0.440219358,0.000380747,31.59667628,0.027328056,41.47804712,0.035874482,0.116837923,0.000101053,255.5512542,0.221027013,0,0,175.974488,0.15220084,2.409584191,0.002084056,1078,750,588,1015,2317,187,1114,380,0,0,380,383,46,61,276,626,53,143,430,1974,1410,423,141,7541,1293,8324,1630,241,6694,448,104,57,51,0,0,160,810,0,7019,180,64,268,79,2398,1162,2082,1060,908,36.7,2836,2316,520,103,2939,188,398,940,205,1855,1363,4949,72,85,50,63,21,23,Lake Michigan,0.77,0.73,-5.4,0.71,0.68,-3.7,0.06,0.05,-25,88,78.8,-10.5,73.3693946,25.63922682,N/A,83.60137127,29.21074838,N/A,13.94583767,13.92991135,N/A,2.199729011,2.197348113,N/A,Clarendon Hills,0.088,191209,12.6,0.144743577,0.101030928,0.835084595,0.798447941,0.74984372,0.067229923,0.140776513,88,277.54,1,0.385952209,0.478727798,0.416957838
1715170,Coal City,4797,5587,5705,2286,2.495625547,4941,321,1145,804,1357,683,418,171,42,37.8,4539,185,69,27,121,4941,3756,2536,2379,157,1220,2365,149,2216,2036,105,0,27,48,64860,33,562,742,602,3267,158,1048,915,416,466,264,330,310,327,263,356,353,75108,36011,1939,1488,451,111,2050,1637,189,22,110,77,0,8,7,6,546,733,493,278,1980,57,584,908,447,54,437,848,203,0,195000,445,32,219,157,37,0,970,1819,143,120,1775,1720,164,2,Education,Transportation,Public Administration,Information,Mining,1,1,0,0,0,0,Public Administration,Other Service,Mining,Utilities,Construction,0,0,0,0,0,University Park,Zion,Harwood Heights,Gurnee,Hainesville,1,0,0,0,0,Zion,Harwood Heights,Gurnee,Hainesville,Hampshire,0,0,0,0,0,,,,,56372318,38146740,111902873,14386806,1138413,1908121,692214,0,130028427,,,,1,0,0,,33.67107493,0,0,0,0,0,0,0,0,0,0,0,0,4.533846557,0.134651079,26.98229679,0.801349433,2.15493158,0.063999489,0,0,547,476,408,508,1297,265,642,235,25,0,210,399,116,101,182,327,150,140,37,972,762,196,14,4846,95,4620,156,56,4464,121,18,0,0,0,0,0,17,0,4662,91,6,1,37,1439,1009,1138,606,605,34.2,1871,1365,506,87,1958,295,1325,780,249,313,110,3072,49,57,26,32,23,25,Sandstone Groundwater,0.09,0.11,28.6,0,0,28.6,0.09,0.11,28.6,68.1,77.1,13.3,N/A,N/A,N/A,40.29826901,30.80215833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,NA,0.350780533,0.821026723,0.677946592,0.207498938,0.300798975,68.1,302.07,1,0,0,0.118816068
1716691,Country Club Hills,16169,16541,16775,5765,2.866435386,16564,659,3640,2862,2826,4045,1530,697,305,40.9,675,736,14646,357,150,16396,13483,8376,7209,1167,5107,6872,361,6511,5605,405,370,58,73,240325,221,2215,1659,1600,11397,722,2664,3300,911,2683,1117,983,1006,995,707,1469,535,70306,30318,5695,4593,1102,535,6230,5045,603,108,98,44,129,203,0,6.5,574,3783,1786,87,1978,210,920,3091,1782,227,2796,1714,57,26,134100,1025,200,169,267,389,0,1306,5340,371,355,5239,5131,456,5969,Health Care,Education,Transportation,Retail Trade,Administration,1228,587,543,532,489,1884,Retail Trade,Education,Health Care,Other Service,Public Administration,440,380,361,158,151,Chicago,Tinley Park,Hazel Crest,Country Club Hills,Orland Park,1765,139,129,118,110,Chicago,Country Club Hills,Tinley Park,Hazel Crest,Park Forest,255,118,88,53,49,,,,24175.97927,123044405,98031040,154947004,54633510,3137081,0,59234,0,212776829,0.478240077,0.521759923,0,0.902774094,0.097225906,0,6.809700788,3100.98462,1354.810536,0.43689689,23.29471917,0.00751204,11.660923,0.003760394,132.3528303,0.042680905,180.5754836,0.05823166,18.70147068,0.006030817,792.0416153,0.25541617,404.8755425,0.130563544,112.7217408,0.036350306,69.94975891,0.022557274,1655,1789,1026,1225,3802,667,1893,613,0,74,539,1182,128,98,956,941,412,153,376,2711,2103,395,213,15598,966,15905,755,197,15150,319,4,0,95,0,0,155,102,80,2248,280,13167,164,310,5429,2800,4182,2617,1141,34.4,5297,4865,432,194,5491,1027,2475,3295,897,1586,686,9966,50,59,29,37,22,23,Lake Michigan,1.33,1.17,-12.2,1.15,1.04,-10.3,0.17,0.13,-25,71.1,61.3,-13.8,N/A,N/A,N/A,79.27472548,9.527520082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Country Club Hills,0.039,69702,3.7,0,0,0.413354392,0.799034214,0.361719679,0.110047503,0.241698039,71.1,267.68,1,0.115256798,0.522548506,0.173748545
1716873,Countryside,5991,5895,6420,2717,2.362900258,5929,260,1141,919,1170,1485,571,278,105,45.2,4107,1505,40,115,162,5897,4907,3433,3148,285,1474,3021,129,2892,2412,181,215,74,10,87735,71,1115,1056,301,4129,508,1091,906,270,941,413,219,667,494,325,399,439,67201,44265,2543,1826,717,199,2742,1129,137,134,55,161,222,681,223,5.1,367,1257,1007,111,1973,556,911,931,273,71,685,432,501,208,242700,709,19,285,320,59,26,1053,2353,231,190,2304,2239,239,2757,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,353,310,265,216,212,6008,Retail Trade,Manufacturing,Accommodation and Food Service,Health Care,Other Service,1639,792,653,386,376,Chicago,La Grange,Countryside,Burr Ridge,Hodgkins,780,145,126,66,50,Chicago,La Grange,Countryside,Oak Lawn,Naperville,1038,137,126,111,109,,,,16464.22668,672639469,604486068,169590102,161599343,38765788,0,72911,0,370028144,0.081555306,0.585134756,0.333309938,0.689840771,0.310159229,0,4.087423298,1842.169541,559.6090741,0.303777183,48.09561414,0.026108137,6.228346304,0.003380984,228.8219874,0.124213316,23.92736502,0.012988688,80.37559131,0.043630941,375.2005256,0.203673178,0,0,475.6264146,0.258188187,44.28462261,0.024039385,916,779,327,521,1531,170,1012,171,0,17,154,689,85,66,538,494,200,172,122,1163,888,218,57,4659,1270,5669,1564,572,4105,891,588,11,35,0,32,7,0,0,5285,410,124,90,82,1323,1075,1432,1218,943,41.2,2661,1905,756,157,2818,683,1357,1043,261,602,396,4342,49,57,28,36,21,22,Lake Michigan,0.89,0.95,6.6,0.36,0.43,17.4,0.53,0.52,-0.8,62.8,71.4,13.7,39.26006607,18.19927261,N/A,43.76377356,6.281881373,N/A,11.47147203,-65.48278874,N/A,1.826454592,-16.24592431,N/A,Countryside,0.077,137008,8.4,0,0,0.393315573,0.822887521,0.302204456,0.099572584,0.309748186,62.8,1360.69,1,0.066532897,0.008333333,0.198278716
1717458,Crest Hill,13329,20837,20459,7442,2.385245902,20388,977,2965,5250,4146,3420,1813,1364,453,38.4,10482,3923,4921,606,456,17084,17490,9204,8534,670,8286,8405,282,8123,6940,894,197,33,59,228910,359,3255,2820,1155,14716,2491,4525,3505,1356,1838,1001,1336,1746,1905,1138,1104,360,58462,25439,7589,5064,2525,325,7914,3665,2007,149,131,419,657,859,27,5.1,2910,3050,1399,555,1993,1158,3567,2212,879,98,1592,3297,147,28,173700,2432,61,747,1047,549,28,1170,6768,451,821,6751,6595,838,9027,Health Care,Retail Trade,Manufacturing,Transportation,Administration,1063,1009,879,713,705,5222,Public Administration,Retail Trade,Administration,Transportation,Health Care,1230,705,529,475,405,Chicago,Joliet,Bolingbrook,Romeoville,Naperville,1510,1082,416,303,270,Joliet,Chicago,Crest Hill,Romeoville,Aurora,923,361,236,164,112,,,,18653.18115,235779737,196777860,304265809,70886866,35781425,1109627,1055700,0,413099427,0.384806228,0.559714261,0.055479511,0.578702679,0.356689543,0.064607778,5.246350893,5873.037848,1167.478559,0.198786146,99.59308053,0.016957677,0.561125139,9.55E-05,224.0285105,0.038145252,658.3166246,0.11209133,283.2315934,0.04822574,872.422236,0.148547014,1567.245702,0.266854351,587.73491,0.100073408,412.425507,0.07022354,2851,2477,1135,1126,4256,932,3333,786,0,16,770,2027,281,391,1355,1871,705,707,459,2596,1632,917,47,18445,1943,19411,3685,1213,15726,2412,321,118,13,120,0,403,117,181,9246,1174,2591,150,168,2905,4487,3227,1481,1229,32.4,4478,2872,1606,330,4808,2481,2675,2188,526,838,230,8938,48,56,26,33,22,23,Shallow Groundwater,2.18,2.38,9,1.81,1.99,10.1,0.37,0.39,4,112.5,93.8,-16.6,26.69856184,30.69693058,N/A,20.96593192,23.61421694,N/A,-21.47168058,-23.07303534,N/A,-3.948448598,-4.277705683,N/A,N/A,N/A,N/A,N/A,0.083477978,0.02446342,0.285063876,0.632646692,0.334534236,0,0.248051912,112.5,311.55,1,0,0,0.16728138
1717497,Crestwood,11251,10950,10826,4931,2.067126344,10762,495,1175,2144,1769,2180,1647,881,471,48.9,8353,1103,802,443,61,10037,9269,5240,4999,241,4029,4861,190,4671,4142,181,313,10,25,141475,389,2168,1536,769,8454,645,2856,2194,635,1405,719,1034,1053,1074,819,690,192,60541,30003,4862,3541,1321,602,5464,2313,47,10,118,1319,1270,375,12,4.9,452,3449,1436,127,1976,575,2782,1586,459,62,1485,1844,184,28,164700,1112,49,545,394,102,22,981,4313,230,549,4362,4280,500,4790,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,675,511,498,401,388,8782,Retail Trade,Transportation,Accommodation and Food Service,Administration,Health Care,1537,1478,1339,698,687,Chicago,Crestwood,Orland Park,Alsip,Oak Lawn,1137,268,198,154,137,Chicago,Crestwood,Oak Forest,Tinley Park,Midlothian,1561,268,239,221,214,,,,16030.27027,450546310,383447476,157131214,164129751,54533239,0,14035,0,375808239,0.078624813,0.921375187,0,0.562761506,0.437238494,0,2.193826632,1968.431495,564.2637534,0.286656536,156.0855002,0.079294352,5.739664459,0.002915857,278.8762273,0.141674337,138.57954,0.070400997,188.2379792,0.095628413,494.1312133,0.251027894,8.602958099,0.004370464,35.3675987,0.017967401,98.54706019,0.050063749,2215,1508,475,664,2281,331,2581,561,0,16,545,1275,233,406,636,1074,526,380,168,1685,1273,347,65,9749,1013,10267,1550,542,8717,695,210,32,234,174,9,0,192,4,10139,414,498,82,118,2616,2356,2487,1775,2017,38.7,4685,3818,867,120,4805,1274,3023,2135,504,924,289,8149,45,53,24,30,21,22,Lake Michigan,1.31,1.25,-4.3,1.08,0.83,-22.9,0.23,0.42,80.6,96.5,75.2,-22.1,29.66824818,2.86152085,N/A,38.41719453,6.979868192,N/A,29.48925836,143.9216262,N/A,4.401232065,16.02236605,N/A,Crestwood,0.193,328375,17.4,0,0,0.326354388,0.786640407,0.65496673,0.47299534,0.235360827,96.5,621.53,1,0,0,0.142768978
